author_id,replies,deflect%,linkpunt%,thin%,diag%,thanked%,groundable%,groundable_n
AmazonHelp,168814,0.7,3.2,6.1,4.6,4.5,90.3,152376
AppleSupport,106646,52.6,5.4,1.3,17.0,5.0,45.1,48062
SpotifyCares,43092,30.9,2.1,0.9,12.0,7.8,66.7,28740
Uber_Support,56160,35.9,13.2,4.2,1.2,5.2,50.7,28466
AmericanAir,36531,16.8,0.6,8.9,1.7,6.4,74.8,27337
Tesco,38468,26.9,0.6,3.0,3.1,7.9,70.7,27182
Delta,42114,16.5,2.7,17.8,1.8,6.7,64.3,27081
British_Airways,29290,14.0,1.1,5.5,3.2,8.5,79.4,23266
hulu_support,21681,0.6,0.6,0.1,14.9,8.2,98.8,21410
SouthwestAir,28828,17.0,3.7,6.3,1.2,7.0,73.3,21134
VirginTrains,27416,2.7,4.7,29.5,1.1,10.7,64.3,17625
XboxSupport,23235,21.5,2.0,2.4,8.1,6.1,74.2,17247
GWRHelp,19237,1.5,1.0,8.4,2.4,12.7,89.4,17202
sainsburys,19399,23.1,2.4,8.7,5.4,10.2,66.2,12838
ATVIAssist,17514,23.8,5.7,3.8,4.2,6.3,70.9,12419
idea_cares,15591,20.6,0.7,0.3,0.3,3.1,78.4,12221
Ask_Spectrum,25617,49.6,0.3,3.5,2.3,4.1,46.8,11993
VerizonSupport,17805,11.7,2.5,21.9,8.1,5.2,66.9,11905
AskPlayStation,18675,25.8,4.8,10.4,5.9,5.9,61.6,11507
BofA_Help,12634,9.4,4.7,6.5,11.4,3.9,81.9,10353
sprintcare,22209,48.0,1.4,7.0,3.7,2.9,45.1,10025
MicrosoftHelps,11215,8.8,1.9,1.3,16.0,8.3,88.1,9886
SW_Help,11729,0.7,4.0,11.4,1.3,12.6,83.9,9844
AirAsiaSupport,12694,17.3,1.1,9.0,2.0,10.6,76.2,9677
O2,16069,28.4,5.3,12.7,8.6,6.0,58.1,9337
AskAmex,11090,1.6,1.6,13.6,1.7,5.7,83.4,9252
ChipotleTweets,18599,1.0,11.1,40.1,0.4,4.3,48.2,8966
AskTarget,13210,34.1,0.4,0.4,2.4,7.7,65.4,8642
comcastcares,32921,71.6,0.2,3.4,1.2,4.3,25.6,8439
marksandspencer,11425,11.2,2.7,13.5,2.5,9.4,73.5,8399
AdobeCare,9858,9.1,3.4,6.2,17.3,11.4,81.5,8036
Safaricom_Care,15441,19.5,3.6,32.6,0.7,7.7,51.0,7875
AskeBay,9612,28.5,0.5,3.1,8.7,6.6,68.5,6583
airtel_care,9402,18.8,0.2,11.3,0.1,3.7,69.9,6574
ArgosHelpers,12030,29.8,4.4,13.6,1.9,11.3,53.7,6465
McDonalds,8427,0.7,0.9,26.6,0.1,1.5,71.8,6050
Morrisons,9980,25.7,0.2,17.3,0.7,8.7,58.0,5788
TMobileHelp,34215,82.0,2.6,2.3,1.0,4.2,15.9,5433
GloCare,6300,1.7,0.8,13.7,0.1,7.4,84.0,5295
JetBlue,7956,10.7,8.2,19.5,1.8,9.1,63.4,5045
LondonMidland,6498,1.0,1.7,23.3,0.3,13.4,74.3,4829
UPSHelp,17762,69.7,3.4,1.6,0.8,4.7,27.1,4822
AskLyft,11782,55.4,5.4,3.0,2.1,4.2,39.6,4660
AzureSupport,7010,19.5,7.4,9.8,9.7,9.8,64.3,4506
AlaskaAir,7412,13.4,2.5,25.2,0.3,8.7,60.2,4463
DropboxSupport,5938,20.0,2.5,6.0,7.9,7.1,73.3,4352
Ask_WellsFargo,7559,38.5,0.5,4.4,3.5,3.1,56.9,4299
HPSupport,7145,39.0,3.6,0.7,3.1,2.6,58.9,4205
ChaseSupport,8707,48.0,1.1,3.7,6.8,4.2,47.9,4170
CoxHelp,7813,44.4,1.6,5.6,6.8,5.1,50.2,3922
AldiUK,7846,29.4,3.4,19.6,0.5,6.6,47.7,3743
AirbnbHelp,8820,59.2,0.3,2.3,6.1,9.3,39.0,3443
DellCares,5210,37.8,2.9,5.2,3.5,4.6,56.8,2961
AskPayPal,11239,72.6,0.2,6.7,0.2,5.2,24.8,2788
